ID,Title,Poster_URL,Type
1,Carnival of Souls,https://storage.googleapis.com/pecantv_title_images/Bonanza-Series-Image.jpg,FILM
2,Charade,https://storage.googleapis.com/pecantv_title_images/CHARADE-titleImg-Logo.jpg,FILM
4,Night of the Living Dead,https://storage.googleapis.com/pecantv_title_images/NLD-logo_1080.jpg,FILM
5,Lola Colt,https://storage.googleapis.com/pecantv_title_images/Lola-Colt_title-img.jpg,FILM
6,Joe Bullett,https://storage.googleapis.com/pecantv_title_images/Joe-Bullett-Feature-Img.jpg,FILM
8,Dementia-13,https://storage.googleapis.com/pecantv_title_images/dementia-13_Title-Img.png,FILM
9,Little Shop of Horrors,https://storage.googleapis.com/pecantv_title_images/Little-Shop-of-Horrors_Title-Img-colorbk.png,FILM
10,The Last Time I Saw Paris,https://storage.googleapis.com/pecantv_title_images/Last-Time-I-Saw-Paris_Title_Img-1920x1080.jpg,FILM
13,Love Affair,https://storage.googleapis.com/pecantv_title_images/Love-Affair_title-image.jpg,FILM
14,Man with the Golden Arm,https://storage.googleapis.com/pecantv_title_images/Man-with-the-Golden-Arm-Title-Img.jpg,FILM
15,Master of the Flying Guillotine,https://storage.googleapis.com/pecantv_title_images/Master-of-the-Flying-Guillotine_title-img.png,FILM
16,Mr. Mean,https://storage.googleapis.com/pecantv_title_images/MrMean_feature-Img.jpg,FILM
17,Murder in Harlem,https://storage.googleapis.com/pecantv_title_images/Murder-in-Harlem-Feature-Img.jpg,FILM
18,Mutiny,https://storage.googleapis.com/pecantv_title_images/Mutiny_title-img.jpg,FILM
19,One Eyed Jacks,https://storage.googleapis.com/pecantv_title_images/One-Eyed-Jacks_title-img.jpg,FILM
20,Passing,https://storage.googleapis.com/pecantv_title_images/Passing_feature-Img.jpg,FILM
22,Prisoners of the Lost Planet,https://storage.googleapis.com/pecantv_title_images/Prisoners-of-the-Lost-Planet_title-img.jpg,FILM
23,Red House,https://storage.googleapis.com/pecantv_title_images/Red-House_title-img.jpg,FILM
24,Scarlett Street,https://storage.googleapis.com/pecantv_title_images/Scarlet-Street_Title-Img2.jpg,FILM
25,Scrooge,https://storage.googleapis.com/pecantv_title_images/Scrooge_title-img.jpg,FILM
26,Sherlock Holmes - Terror By Night,https://storage.googleapis.com/pecantv_title_images/Sherlock-Holmes-Series-Img.jpg,FILM
30,Shockproof,https://storage.googleapis.com/pecantv_title_images/Shockproof_title-img.png,FILM
31,Silent Night Bloody Night,https://storage.googleapis.com/pecantv_title_images/Silent-Night-Bloody-Night_title-img-noLogo.jpg,FILM
32,Snake and Crane Secret,https://storage.googleapis.com/pecantv_title_images/Snake-and-Crane-Secret_title-img.png,FILM
33,The Buccaneers,https://storage.googleapis.com/pecantv_title_images/The-Buccaneers_title-img.png,FILM
